Date : 2021-07-02 23:38:15
Directory : d:\workstation\OS_SelfMake\Assembler
Total : 256 files,  24225 codes, 752 comments, 2023 blanks, all 27000 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| tolset\z_tools\win32                                                        |         10 |        228 |         13 |         83 |        324 |
| z_tools                                                                     |         37 |      1,116 |         50 |        343 |      1,509 |
| z_tools\guigui00                                                            |         11 |        661 |         28 |        173 |        862 |
| z_tools\haribote                                                            |          9 |        161 |          9 |         70 |        240 |
| z_tools\osa_qemu                                                            |          2 |         26 |          0 |          5 |         31 |
| z_tools\qemu                                                                |          2 |          6 |          0 |          1 |          7 |
| z_tools\qemu_9x                                                             |          1 |          2 |          0 |          1 |          3 |
| z_tools\win32                                                               |         10 |        228 |         13 |         83 |        324 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                    | language      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| d:\workstation\OS_SelfMake\Assembler\README.md                              | Markdown      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\binary-os\os-original.asm              | assembly(DOS) |     12,513 |          0 |          0 |     12,513 |
| d:\workstation\OS_SelfMake\Assembler\day00\os00.asm                         | assembly(DOS) |         22 |          0 |          0 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day01\os01.asm                         | assembly(DOS) |         34 |          6 |          1 |         41 |
| d:\workstation\OS_SelfMake\Assembler\day02\os02.asm                         | assembly(DOS) |         51 |          7 |          4 |         62 |
| d:\workstation\OS_SelfMake\Assembler\day03-break\bootpack.c                 | C             |          8 |          0 |          1 |          9 |
| d:\workstation\OS_SelfMake\Assembler\day03-break\hello.asm                  | assembly(DOS) |         15 |          0 |          3 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day03-break\ipl.asm                    | assembly(DOS) |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day03-break\nasm_func.asm              | assembly(DOS) |         12 |          3 |          4 |         19 |
| d:\workstation\OS_SelfMake\Assembler\day03-break\os.asm                     | assembly(DOS) |         35 |          4 |          3 |         42 |
| d:\workstation\OS_SelfMake\Assembler\day03-break\scripy.py                  | Python        |         15 |          0 |          4 |         19 |
| d:\workstation\OS_SelfMake\Assembler\day03\32位模式下准备\ipl.asm                 | assembly(DOS) |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day03\32位模式下准备\os.asm                  | assembly(DOS) |         35 |          5 |          3 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day03\ipl与os连接\ipl.asm                 | assembly(DOS) |         87 |         16 |          2 |        105 |
| d:\workstation\OS_SelfMake\Assembler\day03\ipl与os连接\os.asm                  | assembly(DOS) |          7 |         19 |          1 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day03\ipl与os连接\script-makeimg.py       | Python        |         26 |          3 |          6 |         35 |
| d:\workstation\OS_SelfMake\Assembler\day03\os03a.asm                        | assembly(DOS) |         70 |         11 |          2 |         83 |
| d:\workstation\OS_SelfMake\Assembler\day03\os03b.asm                        | assembly(DOS) |         79 |         14 |          6 |         99 |
| d:\workstation\OS_SelfMake\Assembler\day03\os03c.asm                        | assembly(DOS) |         86 |          9 |          3 |         98 |
| d:\workstation\OS_SelfMake\Assembler\day03\os03d.asm                        | assembly(DOS) |         95 |         11 |          3 |        109 |
| d:\workstation\OS_SelfMake\Assembler\day03\导入C\bootpack.c                   | C             |          7 |          0 |          1 |          8 |
| d:\workstation\OS_SelfMake\Assembler\day03\导入C\ipl.asm                      | assembly(DOS) |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day03\导入C\nasm_func.asm                | assembly(DOS) |          8 |          3 |          8 |         19 |
| d:\workstation\OS_SelfMake\Assembler\day03\导入C\os.asm                       | assembly(DOS) |         35 |          4 |          3 |         42 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\!cons_9x.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\!cons_nt.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\Makefile              | Makefile      |         61 |          4 |         21 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\asmhead.nas           | nasm          |         97 |         22 |         32 |        151 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\bootpack.c            | C             |         59 |          3 |          5 |         67 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\bootpack.nas          | nasm          |        144 |          0 |          1 |        145 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\ipl10.nas             | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\make.bat              | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawSlaves\naskfunc.nas          | nasm          |         63 |          4 |          3 |         70 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\!cons_nt.bat         | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\Makefile             | Makefile      |         61 |          4 |         21 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\asmhead.nas          | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\bootpack.c           | C             |        102 |          3 |          6 |        111 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\bootpack.nas         | nasm          |        319 |          0 |          1 |        320 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\ipl10.nas            | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\make.bat             | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTaskBar\naskfunc.nas         | nasm          |         64 |          4 |          3 |         71 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\!cons_9x.bat         | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\!cons_nt.bat         | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\Makefile             | Makefile      |         61 |          4 |         21 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\asmhead.nas          | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\bootpack.c           | C             |         80 |         10 |          5 |         95 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\bootpack.nas         | nasm          |        209 |          0 |          1 |        210 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\ipl10.nas            | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\make.bat             | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\DrawTrangle\naskfunc.nas         | nasm          |         64 |          4 |          3 |         71 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\!cons_nt.bat      | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\Makefile          | Makefile      |         61 |          4 |         21 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\asmhead.nas       | nasm          |         20 |          7 |          1 |         28 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\bootpack.c        | C             |         59 |          3 |          5 |         67 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\bootpack.nas      | nasm          |        144 |          0 |          1 |        145 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\ipl10.nas         | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\make.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day04\add_protection\naskfunc.nas      | nasm          |         63 |          4 |          3 |         70 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\dsar.bat                 | Batch         |         19 |          0 |          4 |         23 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\esart5.bat               | Batch         |         13 |          0 |          6 |         19 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\errno.h         | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\float.h         | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\guigui00.h      | C++           |        476 |         18 |         93 |        587 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\limits.h        | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\math.h          | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\setjmp.h        | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stdarg.h        | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stddef.h        | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stdio.h         | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\stdlib.h        | C++           |         24 |          1 |         10 |         35 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\guigui00\string.h        | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\errno.h         | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\float.h         | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\limits.h        | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\math.h          | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\setjmp.h        | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\stdarg.h        | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\stddef.h        | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\stdio.h         | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\haribote\string.h        | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\osa_qemu\Makefile        | Makefile      |         17 |          0 |          5 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\osa_qemu\manual.bat      | Batch         |          9 |          0 |          0 |          9 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\qemu\Makefile            | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\qemu\qemu-win.bat        | Batch         |          4 |          0 |          0 |          4 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\qemu_9x\Makefile         | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\errno.h            | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\float.h            | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\limits.h           | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\math.h             | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\setjmp.h           | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stdarg.h           | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stddef.h           | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stdio.h            | C++           |         53 |          4 |         11 |         68 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\stdlib.h           | C++           |         29 |          1 |         11 |         41 |
| d:\workstation\OS_SelfMake\Assembler\day04\z_tools\win32\string.h           | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\!cons_nt.bat      | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\Makefile          | Makefile      |         61 |          4 |         21 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\asmhead.nas       | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\bootpack.c        | C             |        112 |          3 |          8 |        123 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\bootpack.nas      | nasm          |        333 |          0 |          1 |        334 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\ipl10.nas         | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\make.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-Struct\naskfunc.nas      | nasm          |         64 |          4 |          3 |         71 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\!cons_nt.bat | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\Makefile     | Makefile      |         61 |          4 |         21 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\asmhead.nas  | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\bootpack.c   | C             |        109 |          3 |          8 |        120 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\bootpack.nas | nasm          |        333 |          0 |          1 |        334 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\ipl10.nas    | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\make.bat     | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\Rebuild-point-binfo\naskfunc.nas | nasm          |         64 |          4 |          3 |         71 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\!cons_nt.bat       | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\Makefile           | Makefile      |         61 |          4 |         21 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\asmhead.nas        | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\bootpack.c         | C             |        146 |          8 |          7 |        161 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\bootpack.nas       | nasm          |        439 |          0 |          1 |        440 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\ipl10.nas          | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\make.bat           | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowCharacter\naskfunc.nas       | nasm          |         64 |          4 |          3 |         71 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\!cons_nt.bat   | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\Makefile       | Makefile      |         67 |          4 |         23 |         94 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\asmhead.nas    | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\bootpack.c     | C             |        160 |         13 |         10 |        183 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\bootpack.nas   | nasm          |        507 |          0 |          1 |        508 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\ipl10.nas      | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\make.bat       | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowMoreCharacter\naskfunc.nas   | nasm          |         64 |          4 |          3 |         71 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowVariable\!cons_nt.bat        | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowVariable\Makefile            | Makefile      |         67 |          4 |         23 |         94 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowVariable\asmhead.nas         | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowVariable\bootpack.c          | C             |        162 |         13 |         12 |        187 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowVariable\ipl10.nas           | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowVariable\make.bat            | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day05\ShowVariable\naskfunc.nas        | nasm          |         64 |          4 |          3 |         71 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\dsar.bat                 | Batch         |         19 |          0 |          4 |         23 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\esart5.bat               | Batch         |         13 |          0 |          6 |         19 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\errno.h         | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\float.h         | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\guigui00.h      | C++           |        476 |         18 |         93 |        587 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\limits.h        | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\math.h          | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\setjmp.h        | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stdarg.h        | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stddef.h        | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stdio.h         | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\stdlib.h        | C++           |         24 |          1 |         10 |         35 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\guigui00\string.h        | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\errno.h         | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\float.h         | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\limits.h        | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\math.h          | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\setjmp.h        | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\stdarg.h        | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\stddef.h        | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\stdio.h         | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\haribote\string.h        | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\osa_qemu\Makefile        | Makefile      |         17 |          0 |          5 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\osa_qemu\manual.bat      | Batch         |          9 |          0 |          0 |          9 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\qemu\Makefile            | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\qemu\qemu-win.bat        | Batch         |          4 |          0 |          0 |          4 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\qemu_9x\Makefile         | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\errno.h            | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\float.h            | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\limits.h           | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\math.h             | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\setjmp.h           | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\stdarg.h           | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\stddef.h           | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\stdio.h            | C++           |         53 |          4 |         11 |         68 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\stdlib.h           | C++           |         29 |          1 |         11 |         41 |
| d:\workstation\OS_SelfMake\Assembler\day05\z_tools\win32\string.h           | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_o\!cons_9x.bat            | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_o\!cons_nt.bat            | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_o\Makefile                | Makefile      |         15 |          2 |          6 |         23 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_o\make.bat                | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_w\!cons_9x.bat            | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_w\!cons_nt.bat            | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_w\Makefile                | Makefile      |          7 |          1 |          3 |         11 |
| d:\workstation\OS_SelfMake\Assembler\tolset\z_new_w\make.bat                | Batch         |          1 |          0 |          0 |          1 |
