Date : 2021-10-30 23:43:26
Directory : d:\workstation\OS_SelfMake\Assembler
Total : 2656 files,  220600 codes, 13290 comments, 25517 blanks, all 259407 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\dsar.bat                      | Batch         |         19 |          0 |          4 |         23 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\esart5.bat                    | Batch         |         13 |          0 |          6 |         19 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\errno.h              | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\float.h              | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\guigui00.h           | C++           |        476 |         18 |         93 |        587 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\limits.h             | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\math.h               | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\setjmp.h             | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\stdarg.h             | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\stddef.h             | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\stdio.h              | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\stdlib.h             | C++           |         24 |          1 |         10 |         35 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\guigui00\string.h             | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\errno.h              | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\float.h              | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\limits.h             | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\math.h               | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\setjmp.h             | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\stdarg.h             | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\stddef.h             | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\stdio.h              | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\haribote\string.h             | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\osa_qemu\Makefile             | Makefile      |         17 |          0 |          5 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\osa_qemu\manual.bat           | Batch         |          9 |          0 |          0 |          9 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\qemu\Makefile                 | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\qemu\qemu-win.bat             | Batch         |          4 |          0 |          0 |          4 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\qemu_9x\Makefile              | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\errno.h                 | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\float.h                 | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\limits.h                | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\math.h                  | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\setjmp.h                | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\stdarg.h                | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\stddef.h                | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\stdio.h                 | C++           |         53 |          4 |         11 |         68 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\stdlib.h                | C++           |         29 |          1 |         11 |         41 |
| d:\workstation\OS_SelfMake\Assembler\day06\z_tools\win32\string.h                | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\!cons_nt.bat                   | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\Makefile                       | Makefile      |         65 |          5 |         24 |         94 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\asmhead.nas                    | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\bootpack.c                     | C             |         26 |          2 |          8 |         36 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\bootpack.h                     | C++           |         84 |         10 |          9 |        103 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\dsctbl.c                       | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\graphic.c                      | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\int.c                          | C             |         46 |         10 |          8 |         64 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\ipl10.nas                      | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\make.bat                       | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\a_FIFO\naskfunc.nas                   | nasm          |        120 |          5 |          4 |        129 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\!cons_nt.bat         | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\Makefile             | Makefile      |         65 |          5 |         24 |         94 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\asmhead.nas          | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\bootpack.c           | C             |         43 |          2 |         10 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\bootpack.h           | C++           |         90 |          6 |          9 |        105 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\dsctbl.c             | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\graphic.c            | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\int.c                | C             |         45 |          9 |         11 |         65 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\ipl10.nas            | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\make.bat             | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\b_AddReceivePool\naskfunc.nas         | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\!cons_nt.bat                   | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\Makefile                       | Makefile      |         65 |          5 |         24 |         94 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\asmhead.nas                    | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\bootpack.c                     | C             |         48 |          2 |         10 |         60 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\bootpack.h                     | C++           |         91 |          6 |          9 |        106 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\dsctbl.c                       | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\graphic.c                      | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\int.c                          | C             |         45 |          9 |         11 |         65 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\ipl10.nas                      | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\make.bat                       | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\c_FIFO\naskfunc.nas                   | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\!cons_nt.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\Makefile              | Makefile      |         65 |          5 |         24 |         94 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\asmhead.nas           | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\bootpack.c            | C             |         47 |          2 |         10 |         59 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\bootpack.h            | C++           |         91 |          6 |          9 |        106 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\dsctbl.c              | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\graphic.c             | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\int.c                 | C             |         50 |          9 |         11 |         70 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\ipl10.nas             | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\make.bat              | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\d_updateFIFObuf\naskfunc.nas          | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\!cons_nt.bat            | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\Makefile                | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\asmhead.nas             | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\bootpack.c              | C             |         44 |          2 |         10 |         56 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\bootpack.h              | C++           |         96 |          7 |         10 |        113 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\dsctbl.c                | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\fifo8.c                 | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\graphic.c               | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\int.c                   | C             |         41 |          9 |         11 |         61 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\ipl10.nas               | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\make.bat                | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\e_fileFIFObuf\naskfunc.nas            | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\!cons_nt.bat      | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\Makefile          | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\asmhead.nas       | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\bootpack.c        | C             |         73 |          2 |         11 |         86 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\bootpack.h        | C++           |        106 |          8 |         11 |        125 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\dsctbl.c          | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\fifo8.c           | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\graphic.c         | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\int.c             | C             |         41 |          9 |         11 |         61 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\ipl10.nas         | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\make.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\f_addmouseinterrput\naskfunc.nas      | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\!cons_nt.bat      | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\Makefile          | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\asmhead.nas       | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\bootpack.c        | C             |         87 |          2 |         11 |        100 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\bootpack.h        | C++           |        106 |          8 |         11 |        125 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\dsctbl.c          | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\fifo8.c           | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\graphic.c         | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\int.c             | C             |         41 |          8 |         11 |         60 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\ipl10.nas         | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\make.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day07\g_readdatafrommouse\naskfunc.nas      | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\dsar.bat                      | Batch         |         19 |          0 |          4 |         23 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\esart5.bat                    | Batch         |         13 |          0 |          6 |         19 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\errno.h              | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\float.h              | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\guigui00.h           | C++           |        476 |         18 |         93 |        587 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\limits.h             | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\math.h               | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\setjmp.h             | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\stdarg.h             | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\stddef.h             | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\stdio.h              | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\stdlib.h             | C++           |         24 |          1 |         10 |         35 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\guigui00\string.h             | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\errno.h              | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\float.h              | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\limits.h             | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\math.h               | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\setjmp.h             | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\stdarg.h             | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\stddef.h             | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\stdio.h              | C++           |         15 |          1 |          9 |         25 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\haribote\string.h             | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\osa_qemu\Makefile             | Makefile      |         17 |          0 |          5 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\osa_qemu\manual.bat           | Batch         |          9 |          0 |          0 |          9 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\qemu\Makefile                 | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\qemu\qemu-win.bat             | Batch         |          4 |          0 |          0 |          4 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\qemu_9x\Makefile              | Makefile      |          2 |          0 |          1 |          3 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\errno.h                 | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\float.h                 | C++           |         19 |          1 |          7 |         27 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\limits.h                | C++           |         18 |          1 |          5 |         24 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\math.h                  | C++           |         32 |          1 |         10 |         43 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\setjmp.h                | C++           |         12 |          1 |          8 |         21 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\stdarg.h                | C++           |         14 |          1 |          7 |         22 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\stddef.h                | C++           |         10 |          1 |          7 |         18 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\stdio.h                 | C++           |         53 |          4 |         11 |         68 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\stdlib.h                | C++           |         29 |          1 |         11 |         41 |
| d:\workstation\OS_SelfMake\Assembler\day07\z_tools\win32\string.h                | C++           |         29 |          1 |          9 |         39 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\!cons_nt.bat       | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\Makefile           | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\asmhead.nas        | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\bootpack.c         | C             |        111 |          3 |         13 |        127 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\bootpack.h         | C++           |        106 |          8 |         11 |        125 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\dsctbl.c           | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\fifo8.c            | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\graphic.c          | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\int.c              | C             |         41 |          8 |         11 |         60 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\ipl10.nas          | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\make.bat           | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\a_analysemousedata\naskfunc.nas       | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\!cons_nt.bat      | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\Makefile          | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\asmhead.nas       | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\bootpack.c        | C             |        122 |          3 |         13 |        138 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\bootpack.h        | C++           |        111 |          8 |         12 |        131 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\dsctbl.c          | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\fifo8.c           | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\graphic.c         | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\int.c             | C             |         41 |          8 |         11 |         60 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\ipl10.nas         | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\make.bat          | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup copy\naskfunc.nas      | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\!cons_nt.bat           | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\Makefile               | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\asmhead.nas            | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\bootpack.c             | C             |        122 |          3 |         13 |        138 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\bootpack.h             | C++           |        111 |          8 |         12 |        131 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\dsctbl.c               | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\fifo8.c                | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\graphic.c              | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\int.c                  | C             |         41 |          8 |         11 |         60 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\ipl10.nas              | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\make.bat               | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\b_littlemakeup\naskfunc.nas           | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\!cons_nt.bat       | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\Makefile           | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\asmhead.nas        | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\bootpack.c         | C             |        148 |          5 |         13 |        166 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\bootpack.h         | C++           |        112 |          8 |         12 |        132 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\dsctbl.c           | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\fifo8.c            | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\graphic.c          | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\int.c              | C             |         41 |          8 |         11 |         60 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\ipl10.nas          | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\make.bat           | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode copy\naskfunc.nas       | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\!cons_nt.bat            | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\Makefile                | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\asmhead.nas             | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\bootpack.c              | C             |        149 |          5 |         13 |        167 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\bootpack.h              | C++           |        112 |          8 |         12 |        132 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\dsctbl.c                | C             |         47 |          6 |          2 |         55 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\fifo8.c                 | C             |         46 |          1 |          3 |         50 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\graphic.c               | C             |        158 |          6 |          6 |        170 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\int.c                   | C             |         41 |          8 |         11 |         60 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\ipl10.nas               | nasm          |         92 |         10 |          2 |        104 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\make.bat                | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\c_mousedecode\naskfunc.nas            | nasm          |        119 |          5 |          4 |        128 |
| d:\workstation\OS_SelfMake\Assembler\day08\d_movemouse copy\!cons_nt.bat         | Batch         |          1 |          0 |          0 |          1 |
| d:\workstation\OS_SelfMake\Assembler\day08\d_movemouse copy\Makefile             | Makefile      |         65 |          5 |         23 |         93 |
| d:\workstation\OS_SelfMake\Assembler\day08\d_movemouse copy\asmhead.nas          | nasm          |         97 |         22 |         33 |        152 |
| d:\workstation\OS_SelfMake\Assembler\day08\d_movemouse copy\bootpack.c           | C             |        172 |          6 |         15 |        193 |
