Date : 2021-10-30 23:43:26
Directory : d:\workstation\OS_SelfMake\Assembler
Total : 2656 files,  220600 codes, 13290 comments, 25517 blanks, all 259407 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C             |        991 |    111,489 |      6,084 |      7,711 |    125,284 |
| nasm          |        388 |     46,699 |      4,232 |      6,207 |     57,138 |
| C++           |        728 |     39,937 |      2,290 |      8,463 |     50,690 |
| assembly(DOS) |         19 |     13,460 |        142 |         52 |     13,654 |
| Makefile      |        174 |      7,742 |        539 |      2,862 |     11,143 |
| Batch         |        353 |      1,230 |          0 |        211 |      1,441 |
| Python        |          2 |         41 |          3 |         10 |         54 |
| Markdown      |          1 |          2 |          0 |          1 |          3 |
+---------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |      2,656 |    220,600 |     13,290 |     25,517 |    259,407 |
| binary-os                                                                        |          1 |     12,513 |          0 |          0 |     12,513 |
| day00                                                                            |          1 |         22 |          0 |          0 |         22 |
| day01                                                                            |          1 |         34 |          6 |          1 |         41 |
| day02                                                                            |          1 |         51 |          7 |          4 |         62 |
| day03                                                                            |         13 |        719 |        115 |         42 |        876 |
| day03-break                                                                      |          6 |        177 |         17 |         17 |        211 |
| day03\32位模式下准备                                                                   |          2 |        127 |         15 |          5 |        147 |
| day03\ipl与os连接                                                                   |          3 |        120 |         38 |          9 |        167 |
| day03\导入C                                                                        |          4 |        142 |         17 |         14 |        173 |
| day04                                                                            |         71 |      3,419 |        214 |        571 |      4,204 |
| day04\DrawSlaves                                                                 |          9 |        519 |         43 |         64 |        626 |
| day04\DrawTaskBar                                                                |          8 |        737 |         43 |         66 |        846 |
| day04\DrawTrangle                                                                |          9 |        606 |         50 |         65 |        721 |
| day04\add_protection                                                             |          8 |        441 |         28 |         33 |        502 |
| day04\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day04\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day04\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day04\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day04\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day04\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day04\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day05                                                                            |         93 |      7,988 |        409 |        830 |      9,227 |
| day05\a_Rebuild-point-binfo                                                      |          8 |        758 |         43 |         68 |        869 |
| day05\b_Rebuild-Struct                                                           |          8 |        761 |         43 |         68 |        872 |
| day05\c_ShowCharacter                                                            |          8 |        901 |         48 |         67 |      1,016 |
| day05\d_ShowMoreCharacter                                                        |          8 |        989 |         53 |         72 |      1,114 |
| day05\e_ShowVariable                                                             |          8 |      1,011 |         50 |         72 |      1,133 |
| day05\f_ShowMouse                                                                |          8 |      1,191 |         55 |         71 |      1,317 |
| day05\g_AddGDT_IDTStructure                                                      |          8 |      1,261 |         67 |         69 |      1,397 |
| day05\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day05\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day05\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day05\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day05\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day05\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day05\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day06                                                                            |         69 |      3,196 |        265 |        601 |      4,062 |
| day06\a_SpreateCSourceFIle                                                       |         10 |        614 |         61 |         70 |        745 |
| day06\b_InitialPIC                                                               |         11 |        732 |         76 |         94 |        902 |
| day06\b_InitialPIC copy 2                                                        |         11 |        734 |         78 |         94 |        906 |
| day06\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day06\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day06\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day06\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day06\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day06\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day06\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day07                                                                            |        117 |      6,656 |        559 |      1,058 |      8,273 |
| day07\a_FIFO                                                                     |         11 |        737 |         76 |         96 |        909 |
| day07\b_AddReceivePool                                                           |         11 |        758 |         71 |        101 |        930 |
| day07\c_FIFO                                                                     |         11 |        764 |         71 |        101 |        936 |
| day07\d_updateFIFObuf                                                            |         11 |        768 |         71 |        101 |        940 |
| day07\e_fileFIFObuf                                                              |         12 |        807 |         73 |        104 |        984 |
| day07\f_addmouseinterrput                                                        |         12 |        846 |         74 |        106 |      1,026 |
| day07\g_readdatafrommouse                                                        |         12 |        860 |         73 |        106 |      1,039 |
| day07\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day07\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day07\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day07\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day07\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day07\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day07\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day08                                                                            |        121 |      7,555 |        579 |      1,107 |      9,241 |
| day08\a_analysemousedata                                                         |         12 |        884 |         74 |        108 |      1,066 |
| day08\b_littlemakeup                                                             |         12 |        900 |         74 |        109 |      1,083 |
| day08\b_littlemakeup copy                                                        |         12 |        900 |         74 |        109 |      1,083 |
| day08\c_mousedecode                                                              |         12 |        928 |         76 |        109 |      1,113 |
| day08\c_mousedecode copy                                                         |         12 |        927 |         76 |        109 |      1,112 |
| day08\d_movemouse                                                                |         12 |        949 |         78 |        109 |      1,136 |
| day08\d_movemouse copy                                                           |         12 |        951 |         77 |        111 |      1,139 |
| day08\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day08\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day08\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day08\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day08\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day08\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day08\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day09                                                                            |         93 |      5,265 |        386 |        809 |      6,460 |
| day09\a_makescorefiles                                                           |         14 |        951 |         80 |        112 |      1,143 |
| day09\b_checkmemory                                                              |         14 |      1,022 |         83 |        118 |      1,223 |
| day09\c_asmthememtest                                                            |         14 |      1,030 |         82 |        119 |      1,231 |
| day09\d_mallocmemory                                                             |         14 |      1,146 |         91 |        117 |      1,354 |
| day09\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day09\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day09\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day09\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day09\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day09\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day09\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day10                                                                            |        116 |      7,571 |        529 |        969 |      9,069 |
| day10\a1_allocmemoryupdate                                                       |         16 |      1,192 |         92 |        124 |      1,408 |
| day10\a_memorymanageupdate                                                       |         15 |      1,147 |         92 |        124 |      1,363 |
| day10\b_sheet                                                                    |         16 |      1,356 |         98 |        126 |      1,580 |
| day10\c_sheetfaster(1)                                                           |         16 |      1,370 |         98 |        126 |      1,594 |
| day10\d_sheetfaster(2)                                                           |         16 |      1,390 |         99 |        126 |      1,615 |
| day10\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day10\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day10\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day10\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day10\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day10\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day10\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day11                                                                            |        149 |     11,309 |        750 |      1,234 |     13,293 |
| day11\a_mouseoutside                                                             |         16 |      1,390 |         99 |        126 |      1,615 |
| day11\b_outsidevramsupport                                                       |         16 |      1,406 |        100 |        126 |      1,632 |
| day11\c_shtctlignore                                                             |         16 |      1,409 |        100 |        127 |      1,636 |
| day11\d_show_a_window                                                            |         16 |      1,475 |        100 |        127 |      1,702 |
| day11\e_counter                                                                  |         16 |      1,480 |        100 |        128 |      1,708 |
| day11\f_reduceflash1                                                             |         16 |      1,481 |        100 |        128 |      1,709 |
| day11\g_reduceflash2                                                             |         16 |      1,552 |        101 |        129 |      1,782 |
| day11\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day11\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day11\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day11\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day11\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day11\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day11\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day12                                                                            |        156 |     12,811 |        772 |      1,283 |     14,866 |
| day12\a_addtimer                                                                 |         17 |      1,594 |        102 |        132 |      1,828 |
| day12\b_timecount                                                                |         17 |      1,594 |        102 |        132 |      1,828 |
| day12\c_timeoutfunc                                                              |         17 |      1,629 |        102 |        134 |      1,865 |
| day12\d_moretimer                                                                |         17 |      1,707 |        103 |        136 |      1,946 |
| day12\e_speedenhandler1                                                          |         17 |      1,706 |        103 |        135 |      1,944 |
| day12\f_speedenhandler2                                                          |         17 |      1,723 |        105 |        136 |      1,964 |
| day12\g_speedenhandler3                                                          |         17 |      1,742 |        105 |        135 |      1,982 |
| day12\z_tools                                                                    |         37 |      1,116 |         50 |        343 |      1,509 |
| day12\z_tools\guigui00                                                           |         11 |        661 |         28 |        173 |        862 |
| day12\z_tools\haribote                                                           |          9 |        161 |          9 |         70 |        240 |
| day12\z_tools\osa_qemu                                                           |          2 |         26 |          0 |          5 |         31 |
| day12\z_tools\qemu                                                               |          2 |          6 |          0 |          1 |          7 |
| day12\z_tools\qemu_9x                                                            |          1 |          2 |          0 |          1 |          3 |
| day12\z_tools\win32                                                              |         10 |        228 |         13 |         83 |        324 |
| day13                                                                            |        140 |     11,693 |        721 |      1,142 |     13,556 |
| day13\a_simplifystringdisplay                                                    |         17 |      1,742 |        118 |        135 |      1,995 |
| day13\b_adjustFIFObuf                                                            |         17 |      1,735 |        106 |        135 |      1,976 |
| day13\c_testperformance                                                          |         17 |      1,737 |        106 |        134 |      1,977 |
| day13\d_adjustFIFOpart_1                                                         |         17 |      1,727 |        112 |        131 |      1,970 |
| day13\e_speedenTimerHandl                                                        |         17 |      1,749 |        115 |        132 |      1,996 |
